 9.00000000e+01 -1.39377402e-02  9.00000000e+01 -2.78826291e-03  9.00000000e+01 -1.50000000e+00 
 9.50000000e+01 -1.40530332e-02  9.50000000e+01 -2.81104377e-03  9.50000000e+01 -1.50000000e+00 
 1.00000000e+02 -1.41683844e-02  1.00000000e+02 -2.83394418e-03  1.00000000e+02 -1.50000000e+00 
 1.05000000e+02 -1.42840914e-02  1.05000000e+02 -2.85698172e-03  1.05000000e+02 -1.50000000e+00 
 1.10000000e+02 -1.44003946e-02  1.10000000e+02 -2.88017885e-03  1.10000000e+02 -1.50000000e+00 
 1.15000000e+02 -1.45174945e-02  1.15000000e+02 -2.90356000e-03  1.15000000e+02 -1.50000000e+00 
 1.20000000e+02 -1.46355627e-02  1.20000000e+02 -2.92714990e-03  1.20000000e+02 -1.50000000e+00 
 1.25000000e+02 -1.47547488e-02  1.25000000e+02 -2.95097260e-03  1.25000000e+02 -1.50000000e+00 
 1.30000000e+02 -1.48751848e-02  1.30000000e+02 -2.97505094e-03  1.30000000e+02 -1.50000000e+00 
 1.35000000e+02 -1.49969884e-02  1.35000000e+02 -2.99940623e-03  1.35000000e+02 -1.50000000e+00 
 1.40000000e+02 -1.51202646e-02  1.40000000e+02 -3.02405815e-03  1.40000000e+02 -1.50000000e+00 
 1.45000000e+02 -1.52451075e-02  1.45000000e+02 -3.04902470e-03  1.45000000e+02 -1.50000000e+00 
 1.50000000e+02 -1.53716015e-02  1.50000000e+02 -3.07432225e-03  1.50000000e+02 -1.50000000e+00 
 1.55000000e+02 -1.54998218e-02  1.55000000e+02 -3.09996556e-03  1.55000000e+02 -1.50000000e+00 
 1.60000000e+02 -1.56298357e-02  1.60000000e+02 -3.12596787e-03  1.60000000e+02 -1.50000000e+00 
 1.65000000e+02 -1.57617028e-02  1.65000000e+02 -3.15234100e-03  1.65000000e+02 -1.50000000e+00 
 1.70000000e+02 -1.58954760e-02  1.70000000e+02 -3.17909546e-03  1.70000000e+02 -1.50000000e+00 
